"corr","overlap","method","design","dataset"
0.964891281663804,0.38961038961039,"slingshot","RNAmix","RNAmix_Sort-seq"
0.952894489460015,0.411255411255411,"slingshot","RNAmix","RNAmix_Sort-seq"
0.947099913843306,0.74025974025974,"slingshot","RNAmix","RNAmix_Sort-seq"
0.729799749262869,0.842592592592593,"slingshot","RNAmix","RNAmix_Sort-seq"
0.93648412781981,0.597402597402597,"slingshot","RNAmix","RNAmix_Sort-seq"
0.740764653397585,0.782407407407407,"slingshot","RNAmix","RNAmix_Sort-seq"
0.927064508235454,0.558441558441558,"slingshot","RNAmix","RNAmix_Sort-seq"
0.136639707791524,0.962962962962963,"slingshot","RNAmix","RNAmix_Sort-seq"
0.94477085479392,0.584415584415584,"slingshot","RNAmix","RNAmix_Sort-seq"
0.754506474827345,0.824074074074074,"slingshot","RNAmix","RNAmix_Sort-seq"
0.96436463391051,0.83982683982684,"slingshot","RNAmix","RNAmix_Sort-seq"
0.727016379809172,0.782407407407407,"slingshot","RNAmix","RNAmix_Sort-seq"
0.958119764430581,0.913419913419913,"slingshot","RNAmix","RNAmix_Sort-seq"
0.780630152284323,0.666666666666667,"slingshot","RNAmix","RNAmix_Sort-seq"
0.941930450633656,0.58008658008658,"slingshot","RNAmix","RNAmix_Sort-seq"
0.763247851119297,0.800925925925926,"slingshot","RNAmix","RNAmix_Sort-seq"
0.957630858715771,0.852813852813853,"slingshot","RNAmix","RNAmix_Sort-seq"
0.493296318023133,0.490740740740741,"slingshot","RNAmix","RNAmix_Sort-seq"
